               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.019557,            0.027175,            0.002991,             0.64102,             0.69615,             0.68169,             0.44801,             0.02311,            0.020905,           0.0067051,           0.0033238,           0.0033238,            0.070086
                   1,            0.026812,            0.026397,           0.0029221,             0.62748,             0.65037,              0.6574,              0.4044,            0.030346,            0.021065,           0.0068222,           0.0066242,           0.0066242,            0.040053
                   2,            0.032132,            0.028229,           0.0040174,             0.53342,             0.65951,             0.57386,             0.38018,              0.0246,            0.021884,           0.0075914,           0.0098916,           0.0098916,           0.0099868
                   3,            0.030324,             0.03103,           0.0056342,             0.53145,             0.62415,              0.5876,             0.34225,            0.026014,            0.021959,           0.0072188,           0.0098515,           0.0098515,           0.0098515
                   4,            0.029816,             0.02856,           0.0058739,             0.55613,             0.68279,             0.61504,             0.30053,            0.031128,            0.021482,           0.0067339,           0.0098515,           0.0098515,           0.0098515
                   5,             0.02909,            0.029464,           0.0054242,             0.56302,             0.60886,             0.60636,             0.36466,            0.027268,            0.021566,           0.0071073,            0.009802,            0.009802,            0.009802
                   6,            0.028581,            0.028846,           0.0055426,             0.56997,             0.66869,             0.60945,              0.3772,            0.027122,            0.022164,           0.0071915,           0.0097525,           0.0097525,           0.0097525
                   7,            0.026866,            0.029961,           0.0057806,             0.55481,              0.6721,             0.61933,             0.39654,            0.024162,            0.021916,           0.0068571,            0.009703,            0.009703,            0.009703
                   8,            0.027097,            0.029827,            0.005888,             0.56556,              0.6707,             0.63582,             0.37959,            0.026321,            0.021655,           0.0071408,           0.0096535,           0.0096535,           0.0096535
                   9,            0.027302,            0.029835,            0.005557,             0.53414,             0.70178,              0.6149,             0.38834,             0.02643,             0.02191,           0.0069648,            0.009604,            0.009604,            0.009604
                  10,            0.025285,            0.028449,           0.0051832,              0.6373,             0.62787,             0.65207,             0.42615,            0.024461,            0.021664,            0.006729,           0.0095545,           0.0095545,           0.0095545
                  11,            0.025893,            0.028402,           0.0049249,             0.57009,             0.73835,             0.66283,             0.42405,            0.024664,            0.021911,           0.0068516,            0.009505,            0.009505,            0.009505
                  12,            0.026939,            0.029207,           0.0052364,             0.53925,             0.69961,             0.61611,             0.35655,            0.032749,            0.022043,            0.007005,           0.0094555,           0.0094555,           0.0094555
