               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094028,             0.19554,            0.011964,             0.14116,             0.65145,             0.34291,             0.33264,             0.15053,            0.088715,             0.26735,            0.013069,             0.13002,             0.00117,             0.00117,             0.08947
                   1,            0.093202,             0.19293,            0.012632,             0.14004,              0.6658,             0.32768,             0.32705,             0.14807,            0.088466,             0.26674,            0.013342,             0.13003,           0.0023499,           0.0023499,             0.07885
                   2,            0.092224,             0.19124,            0.012361,             0.13904,             0.69343,             0.31423,              0.3257,              0.1261,            0.091333,             0.26772,            0.013486,             0.13029,           0.0035293,           0.0035293,            0.068229
                   3,            0.097378,             0.19848,            0.012222,              0.1403,             0.55025,             0.33707,               0.319,             0.12607,            0.092697,             0.26588,            0.014076,             0.13069,           0.0047079,           0.0047079,            0.057608
                   4,            0.097282,             0.18775,            0.011984,             0.14099,             0.54412,             0.32192,              0.3039,             0.11843,            0.093506,             0.26724,            0.014068,             0.13502,           0.0058854,           0.0058854,            0.046985
                   5,             0.10222,             0.20216,            0.012372,             0.14173,             0.46987,             0.31393,             0.28967,             0.11581,             0.09662,             0.26794,            0.014759,             0.13163,           0.0070613,           0.0070613,            0.036361
                   6,             0.10381,             0.20771,            0.012134,               0.143,             0.54349,             0.31521,             0.29287,             0.10842,              0.0944,             0.27131,            0.013956,             0.13466,           0.0082354,           0.0082354,            0.025735
                   7,              0.1037,             0.24782,            0.013983,             0.14796,             0.36274,             0.25836,             0.20474,            0.069934,             0.10077,             0.31307,             0.02398,             0.15699,           0.0094072,           0.0094072,            0.015107
                   8,             0.10277,             0.22902,            0.018721,             0.16407,             0.42946,             0.26041,             0.23158,            0.080469,            0.096654,             0.30188,            0.023069,             0.15437,           0.0099685,           0.0099685,           0.0099685
                   9,             0.10113,             0.21117,            0.018982,              0.1608,             0.59387,             0.29697,             0.26109,             0.10127,            0.094802,             0.26812,            0.018724,             0.15153,           0.0099685,           0.0099685,           0.0099685
                  10,             0.10453,              0.1986,            0.015893,             0.15569,             0.54466,              0.2586,             0.21787,             0.07228,             0.10152,             0.26406,            0.015795,             0.14867,           0.0099601,           0.0099601,           0.0099601
                  11,             0.10475,              0.1982,            0.015825,             0.15461,             0.47949,             0.28313,             0.24342,            0.086449,            0.096275,              0.2728,            0.017945,             0.14808,           0.0099508,           0.0099508,           0.0099508
                  12,             0.10446,             0.20071,            0.015566,             0.15346,             0.50176,             0.31044,             0.27344,             0.10012,            0.093801,             0.27093,            0.015131,             0.14498,           0.0099404,           0.0099404,           0.0099404
                  13,             0.10342,             0.19566,             0.01405,             0.15037,             0.61572,             0.26936,             0.25558,            0.088018,            0.097598,             0.26507,            0.015442,              0.1431,           0.0099291,           0.0099291,           0.0099291
                  14,             0.10248,             0.19539,            0.014805,             0.15015,             0.55335,             0.27774,             0.25438,            0.096271,            0.095973,             0.26997,            0.017704,             0.14382,           0.0099169,           0.0099169,           0.0099169
                  15,             0.10215,             0.20851,            0.014212,             0.14883,             0.44188,             0.25644,             0.25002,            0.091224,            0.099211,             0.26263,            0.015289,             0.14031,           0.0099037,           0.0099037,           0.0099037
                  16,             0.10173,             0.19642,            0.013946,             0.14689,             0.40951,             0.30373,             0.26424,            0.094736,             0.09665,              0.2668,            0.015797,             0.13969,           0.0098895,           0.0098895,           0.0098895
                  17,             0.10212,             0.19126,            0.014081,             0.14639,             0.59986,             0.29346,             0.26794,            0.091339,            0.095698,             0.26845,             0.01463,             0.13939,           0.0098743,           0.0098743,           0.0098743
